City,Customer ID,Customer Name,Discount,Order Date,Order ID,Postal Code,Product ID,Profit,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,Shipping Costs,State
Decatur,EH-141851408,Evan Henry,0,5/21/12,CA-2012-EH14185140-41050,35601,TEC-PH-5365,33.995,2,Southern US,135.98,Consumer,5/28/12,Standard Class,6,Alabama
Decatur,EH-141851408,Evan Henry,0,5/21/12,CA-2012-EH14185140-41050,35601,TEC-PH-5606,12.586,1,Southern US,44.95,Consumer,5/28/12,Standard Class,2.24,Alabama
Decatur,RA-198851408,Ruben Ausman,0,4/7/12,US-2012-RA19885140-41006,35601,FUR-TA-5791,316.1392,8,Southern US,1215.92,Corporate,4/11/12,Standard Class,66.58,Alabama
Decatur,SC-207701408,Stewart Carmichael,0,6/13/14,CA-2014-SC20770140-41803,35601,OFF-AP-2855,56.2032,1,Southern US,208.16,Corporate,6/16/14,First Class,46.81,Alabama
Decatur,SC-207701408,Stewart Carmichael,0,6/13/14,CA-2014-SC20770140-41803,35601,OFF-BI-3279,8.0352,3,Southern US,16.74,Corporate,6/16/14,First Class,4.02,Alabama
Decatur,TC-209801408,Tamara Chand,0,12/26/12,CA-2012-TC20980140-41269,35601,TEC-AC-4140,184.26,5,Southern US,498,Corporate,1/2/13,Standard Class,31.42,Alabama
Decatur,TC-209801408,Tamara Chand,0,12/26/12,CA-2012-TC20980140-41269,35601,OFF-PA-6541,11.7208,4,Southern US,23.92,Corporate,1/2/13,Standard Class,2.18,Alabama
Florence,AP-107201408,Anne Pryor,0,5/24/14,CA-2014-AP10720140-41783,35630,OFF-PA-6504,2.4402,1,Southern US,4.98,Home Office,5/28/14,Standard Class,1.4,Alabama
Florence,DC-128501408,Dan Campbell,0,6/5/15,CA-2015-DC12850140-42160,35630,OFF-PA-3115,5.616,2,Southern US,12.48,Consumer,6/9/15,Standard Class,2.03,Alabama
Florence,IM-150701408,Irene Maddox,0,12/18/12,CA-2012-IM15070140-41261,35630,FUR-CH-4602,163.7874,14,Southern US,1819.86,Consumer,12/20/12,Second Class,185.34,Alabama
Florence,IM-150701408,Irene Maddox,0,12/18/12,CA-2012-IM15070140-41261,35630,OFF-BI-3711,74.8524,6,Southern US,152.76,Consumer,12/20/12,Second Class,14.65,Alabama
Florence,IM-150701408,Irene Maddox,0,12/18/12,CA-2012-IM15070140-41261,35630,OFF-SU-2998,1.9629,1,Southern US,7.27,Consumer,12/20/12,Second Class,1.32,Alabama
Hoover,CA-119651408,Carol Adams,0,1/27/15,CA-2015-CA11965140-42031,35244,OFF-AR-5288,4.1769,7,Southern US,15.47,Corporate,2/1/15,Second Class,1.62,Alabama
Hoover,CA-119651408,Carol Adams,0,1/27/15,CA-2015-CA11965140-42031,35244,OFF-BI-3305,3.4368,2,Southern US,7.16,Corporate,2/1/15,Second Class,1.12,Alabama
Hoover,EB-137501408,Edward Becker,0,4/17/15,CA-2015-EB13750140-42111,35244,OFF-SU-3839,9.5448,4,Southern US,477.24,Corporate,4/19/15,First Class,84.49,Alabama
Hoover,EB-137501408,Edward Becker,0,4/17/15,CA-2015-EB13750140-42111,35244,TEC-AC-5898,1.5588,2,Southern US,25.98,Corporate,4/19/15,First Class,1.27,Alabama
Huntsville,FW-143951408,Fred Wasserman,0,3/22/13,CA-2013-FW14395140-41355,35810,OFF-AR-5293,5.4768,4,Southern US,19.56,Corporate,3/27/13,Standard Class,2.64,Alabama
Huntsville,JK-153701408,Jay Kimmel,0,11/26/14,CA-2014-JK15370140-41969,35810,OFF-ST-6157,19.8072,7,Southern US,73.36,Consumer,12/1/14,Standard Class,7.66,Alabama
Huntsville,KC-162551408,Karen Carlisle,0,11/19/14,US-2014-KC16255140-41962,35810,TEC-AC-5153,527.984,4,Southern US,1319.96,Corporate,11/22/14,Second Class,345.77,Alabama
Huntsville,MF-176651408,Maureen Fritzler,0,8/6/14,US-2014-MF17665140-41857,35810,OFF-AR-3541,59.115,7,Southern US,197.05,Corporate,8/12/14,Standard Class,9.87,Alabama
Huntsville,MH-181151408,Mick Hernandez,0,12/26/15,CA-2015-MH18115140-42364,35810,OFF-PA-6467,301.968,6,Southern US,629.1,Home Office,12/30/15,Second Class,141.52,Alabama
Huntsville,MH-181151408,Mick Hernandez,0,12/26/15,CA-2015-MH18115140-42364,35810,TEC-PH-3163,23.5248,2,Southern US,90.48,Home Office,12/30/15,Second Class,10.21,Alabama
Huntsville,MH-181151408,Mick Hernandez,0,12/26/15,CA-2015-MH18115140-42364,35810,OFF-PA-2859,46.1184,2,Southern US,96.08,Home Office,12/30/15,Second Class,4,Alabama
Huntsville,MH-181151408,Mick Hernandez,0,12/26/15,CA-2015-MH18115140-42364,35810,OFF-FA-3158,1.1946,2,Southern US,3.62,Home Office,12/30/15,Second Class,1.61,Alabama
Huntsville,ND-184601408,Neil Ducich,0,5/20/15,CA-2015-ND18460140-42144,35810,OFF-BI-6393,12.8184,4,Southern US,26.16,Corporate,5/24/15,Standard Class,2.22,Alabama
Huntsville,RH-196001408,Rob Haberlin,0,7/15/14,CA-2014-RH19600140-41835,35810,TEC-AC-4788,7.25,2,Southern US,29,Consumer,7/15/14,Same Day,1.95,Alabama
Mobile,JK-157301408,Joe Kamberova,0,9/30/14,CA-2014-JK15730140-41912,36608,TEC-AC-5108,71.3898,3,Southern US,209.97,Consumer,10/4/14,Standard Class,24.68,Alabama
Mobile,JK-157301408,Joe Kamberova,0,9/30/14,CA-2014-JK15730140-41912,36608,OFF-BI-5637,30.2112,3,Southern US,62.94,Consumer,10/4/14,Standard Class,6.92,Alabama
Mobile,JK-157301408,Joe Kamberova,0,9/30/14,CA-2014-JK15730140-41912,36608,OFF-AR-5906,7.776,9,Southern US,25.92,Consumer,10/4/14,Standard Class,3.14,Alabama
Mobile,MC-174251408,Mark Cousins,0,11/27/14,CA-2014-MC17425140-41970,36608,TEC-MA-4595,1459.2,8,Southern US,3040,Corporate,11/30/14,First Class,307.85,Alabama
Mobile,MC-174251408,Mark Cousins,0,11/27/14,CA-2014-MC17425140-41970,36608,OFF-BI-6219,45.84,3,Southern US,91.68,Corporate,11/30/14,First Class,23.27,Alabama
Mobile,MC-174251408,Mark Cousins,0,11/27/14,CA-2014-MC17425140-41970,36608,OFF-FA-6129,34.7802,7,Southern US,70.98,Corporate,11/30/14,First Class,6.15,Alabama
Mobile,MC-174251408,Mark Cousins,0,11/27/14,CA-2014-MC17425140-41970,36608,OFF-BI-6390,16.875,5,Southern US,33.75,Corporate,11/30/14,First Class,3.99,Alabama
Mobile,NW-184001408,Natalie Webber,0,9/15/13,CA-2013-NW18400140-41532,36608,FUR-CH-4420,306.4894,7,Southern US,1056.86,Consumer,9/19/13,Standard Class,56.9,Alabama
Mobile,NW-184001408,Natalie Webber,0,9/15/13,CA-2013-NW18400140-41532,36608,FUR-TA-3561,200.49,2,Southern US,801.96,Consumer,9/19/13,Standard Class,53.81,Alabama
Mobile,NW-184001408,Natalie Webber,0,9/15/13,CA-2013-NW18400140-41532,36608,TEC-PH-3123,0,3,Southern US,59.97,Consumer,9/19/13,Standard Class,3.29,Alabama
Mobile,PJ-190151408,Pauline Johnson,0,4/6/12,CA-2012-PJ19015140-41005,36608,FUR-FU-6100,2.7776,2,Southern US,8.96,Consumer,4/9/12,First Class,1.78,Alabama
Montgomery,AS-102251408,Alan Schoenberger,0,10/17/12,CA-2012-AS10225140-41199,36116,TEC-PH-3183,362.687,5,Southern US,1394.95,Corporate,10/19/12,Second Class,140.1,Alabama
Montgomery,AS-102251408,Alan Schoenberger,0,10/17/12,CA-2012-AS10225140-41199,36116,OFF-ST-4456,11.0388,3,Southern US,275.97,Corporate,10/19/12,Second Class,36.12,Alabama
Montgomery,AS-102251408,Alan Schoenberger,0,10/17/12,CA-2012-AS10225140-41199,36116,FUR-CH-4429,70.9644,6,Southern US,545.88,Corporate,10/19/12,Second Class,29.9,Alabama
Montgomery,BF-110801408,Bart Folk,0,11/27/12,CA-2012-BF11080140-41240,36116,OFF-AR-5310,3.9609,3,Southern US,14.67,Consumer,12/3/12,Standard Class,1.94,Alabama
Montgomery,JW-152201408,Jane Waco,0,10/3/15,CA-2015-JW15220140-42280,36116,FUR-FU-5172,3.4544,2,Southern US,10.16,Corporate,10/7/15,Second Class,1.16,Alabama
Montgomery,RL-196151408,Rob Lucas,0,5/30/14,CA-2014-RL19615140-41789,36116,TEC-PH-5564,274.386,5,Southern US,979.95,Consumer,6/2/14,Second Class,81.6,Alabama
Montgomery,RL-196151408,Rob Lucas,0,5/30/14,CA-2014-RL19615140-41789,36116,OFF-BI-5644,11.375,5,Southern US,22.75,Consumer,6/2/14,Second Class,3.42,Alabama
Montgomery,VW-217751408,Victoria Wilson,0,9/8/13,CA-2013-VW21775140-41525,36116,FUR-FU-3006,8.1168,8,Southern US,21.36,Corporate,9/14/13,Standard Class,1.92,Alabama
Montgomery,YS-218801408,Yana Sorensen,0,7/25/13,CA-2013-YS21880140-41480,36116,FUR-TA-3428,39.4438,2,Southern US,358.58,Corporate,7/29/13,Standard Class,22.18,Alabama
Montgomery,YS-218801408,Yana Sorensen,0,7/25/13,CA-2013-YS21880140-41480,36116,OFF-EN-6359,49.23,9,Southern US,98.46,Corporate,7/29/13,Standard Class,4.57,Alabama
Tuscaloosa,DP-133901408,Dennis Pardue,0,1/7/15,CA-2015-DP13390140-42011,35401,OFF-BI-6412,15.5204,7,Southern US,33.74,Home Office,1/14/15,Standard Class,5.37,Alabama
Tuscaloosa,SR-204251408,Sharelle Roach,0,12/23/15,CA-2015-SR20425140-42361,35401,FUR-CH-6016,35.49,2,Southern US,141.96,Home Office,12/27/15,Standard Class,8.26,Alabama
Avondale,AC-104501404,Amy Cox,0.2,10/30/12,US-2012-AC10450140-41212,85323,TEC-PH-5607,83.5128,8,Western US,742.336,Consumer,11/2/12,Second Class,241.86,Arizona
Avondale,KM-167201404,Kunst Miller,0.2,9/24/13,US-2013-KM16720140-41541,85323,OFF-AR-5294,1.8522,7,Western US,16.464,Consumer,9/29/13,Second Class,2.05,Arizona
Avondale,KM-167201404,Kunst Miller,0.2,9/24/13,US-2013-KM16720140-41541,85323,OFF-AR-3971,2.3686,2,Western US,14.576,Consumer,9/29/13,Second Class,1.8,Arizona
Avondale,KM-167201404,Kunst Miller,0.2,9/24/13,US-2013-KM16720140-41541,85323,TEC-AC-4788,1.45,2,Western US,23.2,Consumer,9/29/13,Second Class,1.72,Arizona
Avondale,PB-191501404,Philip Brown,0.2,11/29/12,CA-2012-PB19150140-41242,85323,TEC-AC-5192,-16.614,4,Western US,102.24,Consumer,12/5/12,Standard Class,9.83,Arizona
Avondale,PB-191501404,Philip Brown,0.2,11/29/12,CA-2012-PB19150140-41242,85323,OFF-SU-2981,3.5994,7,Western US,47.992,Consumer,12/5/12,Standard Class,2.15,Arizona
Bullhead City,GZ-144701404,Gary Zandusky,0.2,12/20/13,CA-2013-GZ14470140-41628,86442,FUR-FU-5418,3.9512,2,Western US,14.368,Consumer,12/24/13,Standard Class,1.83,Arizona
Bullhead City,GZ-144701404,Gary Zandusky,0.2,12/20/13,CA-2013-GZ14470140-41628,86442,OFF-EN-2854,2.772,1,Western US,7.92,Consumer,12/24/13,Standard Class,1.49,Arizona
Chandler,AJ-109451404,Ashley Jarboe,0.2,10/7/15,CA-2015-AJ10945140-42284,85224,OFF-AR-3287,1.8688,2,Western US,9.344,Consumer,10/12/15,Standard Class,1.64,Arizona
Chandler,DL-134951404,Dionis Lloyd,0.2,8/22/15,CA-2015-DL13495140-42238,85224,OFF-PA-6496,29.358,1,Western US,83.88,Corporate,8/22/15,Same Day,9.42,Arizona
Chandler,JL-151751404,James Lanier,0.2,12/25/15,CA-2015-JL15175140-42363,85224,FUR-CH-4416,105.297,3,Western US,842.376,Home Office,1/1/16,Standard Class,70.22,Arizona
Chandler,JL-151751404,James Lanier,0.2,12/25/15,CA-2015-JL15175140-42363,85224,FUR-FU-3006,1.9224,4,Western US,8.544,Home Office,1/1/16,Standard Class,1.86,Arizona
Chandler,LH-167501404,Larry Hughes,0.2,4/26/15,CA-2015-LH16750140-42120,85224,OFF-AR-5295,0.6672,4,Western US,8.896,Consumer,4/30/15,Standard Class,1.92,Arizona
Chandler,ND-184601404,Neil Ducich,0.5,9/18/12,CA-2012-ND18460140-41170,85224,FUR-TA-4615,-45.8273,1,Western US,73.915,Corporate,9/23/12,Standard Class,5.68,Arizona
Chandler,PC-190001404,Pauline Chand,0.2,4/7/12,US-2012-PC19000140-41006,85224,OFF-FA-3082,-11.8256,8,Western US,49.792,Home Office,4/12/12,Standard Class,8.46,Arizona
Gilbert,BS-115901404,Brendan Sweed,0.2,12/4/12,CA-2012-BS11590140-41247,85234,OFF-AR-4795,111.3024,8,Western US,1113.024,Corporate,12/9/12,Standard Class,104.67,Arizona
Gilbert,BS-115901404,Brendan Sweed,0.2,12/4/12,CA-2012-BS11590140-41247,85234,TEC-PH-5282,62.988,4,Western US,167.968,Corporate,12/9/12,Standard Class,12.88,Arizona
Gilbert,CY-127451404,Craig Yedwab,0.2,6/28/13,CA-2013-CY12745140-41453,85234,FUR-FU-4113,46.632,4,Western US,621.76,Corporate,7/2/13,Standard Class,52.96,Arizona
Gilbert,CY-127451404,Craig Yedwab,0.2,6/28/13,CA-2013-CY12745140-41453,85234,OFF-LA-3223,1.9926,2,Western US,5.904,Corporate,7/2/13,Standard Class,1.59,Arizona
Gilbert,HR-148301404,Harold Ryan,0.2,12/24/13,CA-2013-HR14830140-41632,85234,FUR-CH-5749,99.432,4,Western US,883.84,Corporate,12/28/13,Standard Class,72.45,Arizona
Gilbert,KM-163751404,Katherine Murray,0.5,2/21/15,CA-2015-KM16375140-42056,85234,FUR-TA-4943,-185.7168,9,Western US,386.91,Home Office,2/28/15,Standard Class,44.06,Arizona
Gilbert,KM-163751404,Katherine Murray,0.2,2/21/15,CA-2015-KM16375140-42056,85234,TEC-PH-6313,25.0182,3,Western US,333.576,Home Office,2/28/15,Standard Class,42.91,Arizona
Gilbert,KM-163751404,Katherine Murray,0.2,2/21/15,CA-2015-KM16375140-42056,85234,FUR-FU-4759,16.3172,2,Western US,68.704,Home Office,2/28/15,Standard Class,7.59,Arizona
Gilbert,KM-163751404,Katherine Murray,0.2,2/21/15,CA-2015-KM16375140-42056,85234,OFF-ST-4245,-6.396,2,Western US,51.168,Home Office,2/28/15,Standard Class,4.93,Arizona
Gilbert,KM-163751404,Katherine Murray,0.2,2/21/15,CA-2015-KM16375140-42056,85234,TEC-AC-5238,4.7988,1,Western US,31.992,Home Office,2/28/15,Standard Class,4.76,Arizona
Gilbert,KM-163751404,Katherine Murray,0.2,2/21/15,CA-2015-KM16375140-42056,85234,OFF-EN-5075,3.857,5,Western US,10.64,Home Office,2/28/15,Standard Class,1.46,Arizona
Gilbert,PF-191201404,Peter Fuller,0.2,6/15/13,CA-2013-PF19120140-41440,85234,FUR-FU-4015,-36.4704,6,Western US,364.704,Consumer,6/20/13,Standard Class,33.59,Arizona
Gilbert,PF-191201404,Peter Fuller,0.2,6/15/13,CA-2013-PF19120140-41440,85234,OFF-ST-3361,-19.5624,2,Western US,82.368,Consumer,6/20/13,Standard Class,14.91,Arizona
Gilbert,PF-191201404,Peter Fuller,0.2,6/15/13,CA-2013-PF19120140-41440,85234,FUR-FU-3914,11.0704,4,Western US,40.256,Consumer,6/20/13,Standard Class,3.4,Arizona
Gilbert,PF-191201404,Peter Fuller,0.2,6/15/13,CA-2013-PF19120140-41440,85234,OFF-PA-6445,2.99,2,Western US,9.568,Consumer,6/20/13,Standard Class,1.51,Arizona
Glendale,AI-108551404,Arianne Irving,0.2,9/10/15,CA-2015-AI10855140-42257,85301,OFF-PA-6336,2.388,2,Western US,6.368,Consumer,9/14/15,Standard Class,1.69,Arizona
Glendale,CK-127601404,Cyma Kinney,0.2,7/26/13,CA-2013-CK12760140-41481,85301,FUR-CH-5424,13.3176,3,Western US,266.352,Corporate,7/31/13,Standard Class,25.36,Arizona
Glendale,EM-141401404,Eugene Moren,0.2,11/13/15,CA-2015-EM14140140-42321,85301,TEC-PH-5817,50.3988,2,Western US,671.984,Home Office,11/13/15,Same Day,116.77,Arizona
Glendale,EM-141401404,Eugene Moren,0.2,11/13/15,CA-2015-EM14140140-42321,85301,FUR-CH-4517,9.9652,2,Western US,113.888,Home Office,11/13/15,Same Day,24.05,Arizona
Glendale,EM-141401404,Eugene Moren,0.2,11/13/15,CA-2015-EM14140140-42321,85301,FUR-FU-6285,-5.6784,2,Western US,113.568,Home Office,11/13/15,Same Day,17.85,Arizona
Glendale,EM-141401404,Eugene Moren,0.2,11/13/15,CA-2015-EM14140140-42321,85301,OFF-PA-6535,8.381,5,Western US,23.12,Home Office,11/13/15,Same Day,2.35,Arizona
Glendale,EM-141401404,Eugene Moren,0.2,11/13/15,CA-2015-EM14140140-42321,85301,TEC-AC-5210,13,4,Western US,41.6,Home Office,11/13/15,Same Day,1.95,Arizona
Glendale,EM-141401404,Eugene Moren,0.2,11/13/15,CA-2015-EM14140140-42321,85301,TEC-PH-3880,0.693,2,Western US,7.92,Home Office,11/13/15,Same Day,1.53,Arizona
Glendale,FO-143051404,Frank Olsen,0.2,6/9/15,US-2015-FO14305140-42164,85301,TEC-AC-5207,12.3123,7,Western US,89.544,Consumer,6/14/15,Standard Class,6.49,Arizona
Glendale,FO-143051404,Frank Olsen,0.7,6/9/15,US-2015-FO14305140-42164,85301,OFF-BI-4374,-48.392,2,Western US,72.588,Consumer,6/14/15,Standard Class,5.01,Arizona
Glendale,FO-143051404,Frank Olsen,0.2,6/9/15,US-2015-FO14305140-42164,85301,OFF-ST-5690,-8.3524,2,Western US,35.168,Consumer,6/14/15,Standard Class,2.78,Arizona
Glendale,GH-144101404,Gary Hansen,0.2,8/2/12,CA-2012-GH14410140-41123,85301,OFF-PA-6360,33.7212,3,Western US,93.024,Home Office,8/4/12,Second Class,12.08,Arizona
Glendale,JP-154601404,Jennifer Patt,0.2,7/19/14,CA-2014-JP15460140-41839,85301,OFF-SU-4115,4.225,5,Western US,33.8,Corporate,7/24/14,Standard Class,2.67,Arizona
Glendale,JM-156551404,Jim Mitchum,0.2,4/7/12,CA-2012-JM15655140-41006,85301,OFF-PA-6304,6.8904,3,Western US,19.008,Corporate,4/14/12,Standard Class,1.55,Arizona
Glendale,JM-156551404,Jim Mitchum,0.2,4/7/12,CA-2012-JM15655140-41006,85301,OFF-FA-3472,0.8288,2,Western US,2.368,Corporate,4/14/12,Standard Class,1.16,Arizona
Glendale,KT-164651404,Kean Takahito,0.2,4/15/14,CA-2014-KT16465140-41744,85301,FUR-CH-4618,105.0228,4,Western US,933.536,Consumer,4/15/14,Same Day,166.67,Arizona
Glendale,KT-164651404,Kean Takahito,0.2,4/15/14,CA-2014-KT16465140-41744,85301,OFF-ST-4277,4.2976,4,Western US,42.976,Consumer,4/15/14,Same Day,11.33,Arizona
Glendale,MB-173051404,Maria Bertelson,0.2,8/7/12,CA-2012-MB17305140-41128,85301,FUR-FU-4039,-3.0344,4,Western US,121.376,Consumer,8/13/12,Standard Class,7.68,Arizona
Glendale,MB-173051404,Maria Bertelson,0.2,8/7/12,CA-2012-MB17305140-41128,85301,TEC-AC-5900,-10.7973,3,Western US,95.976,Consumer,8/13/12,Standard Class,6.67,Arizona
Glendale,MH-177851404,Maya Herman,0.2,3/11/14,CA-2014-MH17785140-41709,85301,OFF-ST-5239,6.5435,1,Western US,104.696,Corporate,3/15/14,Second Class,6.02,Arizona
Glendale,ND-183701404,Natalie DeCherney,0.7,10/22/15,US-2015-ND18370140-42299,85301,OFF-BI-5093,-6.5619,1,Western US,8.559,Consumer,10/29/15,Standard Class,1.6,Arizona
Glendale,PG-188201404,Patrick Gardner,0.7,3/9/14,CA-2014-PG18820140-41707,85301,OFF-BI-4367,-7.1148,3,Western US,9.702,Consumer,3/9/14,Same Day,1.19,Arizona
Glendale,TH-211001404,Thea Hendricks,0.2,4/13/13,CA-2013-TH21100140-41377,85301,OFF-ST-5277,0.8058,1,Western US,10.744,Consumer,4/18/13,Standard Class,1.76,Arizona
Mesa,AG-103301404,Alex Grayson,0.5,12/23/15,CA-2015-AG10330140-42361,85204,FUR-TA-5061,-135.087,2,Western US,182.55,Consumer,12/26/15,Second Class,26.82,Arizona
Mesa,AA-103751404,Allen Armold,0.2,7/11/14,CA-2014-AA10375140-41831,85204,OFF-ST-6157,1.4672,2,Western US,16.768,Consumer,7/17/14,Standard Class,1.99,Arizona
Mesa,CA-127751404,Cynthia Arntzen,0.5,7/26/13,US-2013-CA12775140-41481,85204,FUR-TA-3412,-204.4458,3,Western US,393.165,Consumer,7/28/13,First Class,54.34,Arizona
Mesa,DM-129551404,Dario Medina,0.2,12/8/12,CA-2012-DM12955140-41251,85204,OFF-ST-2921,-1.2588,6,Western US,100.704,Corporate,12/13/12,Standard Class,7.23,Arizona
Mesa,DO-134351404,Denny Ordway,0.2,6/3/15,CA-2015-DO13435140-42158,85204,OFF-EN-5167,15.921,5,Western US,43.92,Consumer,6/6/15,Second Class,1.67,Arizona
Mesa,DO-134351404,Denny Ordway,0.2,6/3/15,CA-2015-DO13435140-42158,85204,OFF-PA-6598,7.92,6,Western US,25.344,Consumer,6/6/15,Second Class,1.5,Arizona
Mesa,HJ-148751404,Heather Jas,0.2,4/13/13,CA-2013-HJ14875140-41377,85204,OFF-PA-6530,17.8152,3,Western US,54.816,Home Office,4/14/13,First Class,7.5,Arizona
Mesa,HJ-148751404,Heather Jas,0.2,4/13/13,CA-2013-HJ14875140-41377,85204,OFF-PA-6573,10.8864,6,Western US,31.104,Home Office,4/14/13,First Class,3.06,Arizona
Mesa,JL-158501404,John Lucas,0.2,4/2/13,US-2013-JL15850140-41366,85204,TEC-PH-5828,32.925,5,Western US,87.8,Consumer,4/7/13,Standard Class,5.35,Arizona
Mesa,MV-174851404,Mark Van Huff,0.2,11/25/15,CA-2015-MV17485140-42333,85204,OFF-ST-4244,-41.5872,8,Western US,415.872,Consumer,11/30/15,Second Class,43.25,Arizona
Mesa,MV-174851404,Mark Van Huff,0.7,11/25/15,CA-2015-MV17485140-42333,85204,OFF-BI-4362,-15.1976,2,Western US,20.724,Consumer,11/30/15,Second Class,1.55,Arizona
Mesa,MS-177101404,Maurice Satty,0.2,11/13/14,CA-2014-MS17710140-41956,85204,TEC-AC-5233,1.999,2,Western US,31.984,Consumer,11/20/14,Standard Class,2.14,Arizona
Mesa,MS-177101404,Maurice Satty,0.7,11/13/14,CA-2014-MS17710140-41956,85204,OFF-BI-5714,-3.3488,7,Western US,4.368,Consumer,11/20/14,Standard Class,1.32,Arizona
Mesa,MS-177101404,Maurice Satty,0.7,11/13/14,CA-2014-MS17710140-41956,85204,OFF-BI-3268,-4.598,5,Western US,6.27,Consumer,11/20/14,Standard Class,1.31,Arizona
Mesa,RW-195401404,Rick Wilson,0.2,9/26/13,CA-2013-RW19540140-41543,85204,OFF-ST-5754,-86.3664,4,Western US,363.648,Corporate,9/30/13,Standard Class,28.67,Arizona
Mesa,RW-195401404,Rick Wilson,0.2,9/26/13,CA-2013-RW19540140-41543,85204,TEC-PH-5834,23.0965,5,Western US,263.96,Corporate,9/30/13,Standard Class,19.32,Arizona
Mesa,RW-195401404,Rick Wilson,0.2,9/26/13,CA-2013-RW19540140-41543,85204,OFF-ST-2860,-1.4988,6,Western US,119.904,Corporate,9/30/13,Standard Class,10.59,Arizona
Mesa,RW-195401404,Rick Wilson,0.7,9/26/13,CA-2013-RW19540140-41543,85204,OFF-BI-5093,-59.0571,9,Western US,77.031,Corporate,9/30/13,Standard Class,6.03,Arizona
Mesa,RW-195401404,Rick Wilson,0.7,9/26/13,CA-2013-RW19540140-41543,85204,OFF-BI-4374,-48.392,2,Western US,72.588,Corporate,9/30/13,Standard Class,4.48,Arizona
Mesa,RW-195401404,Rick Wilson,0.2,9/26/13,CA-2013-RW19540140-41543,85204,OFF-PA-5597,31.2736,4,Western US,86.272,Corporate,9/30/13,Standard Class,3.89,Arizona
Mesa,RW-195401404,Rick Wilson,0.2,9/26/13,CA-2013-RW19540140-41543,85204,OFF-AP-2872,14.4096,2,Western US,60.672,Corporate,9/30/13,Standard Class,3.12,Arizona
Mesa,SF-202001404,Sarah Foster,0.2,8/28/15,CA-2015-SF20200140-42244,85204,FUR-FU-4329,33.1584,8,Western US,120.576,Consumer,9/1/15,Standard Class,13.9,Arizona
Mesa,SV-209351404,Susan Vittorini,0.2,4/25/15,CA-2015-SV20935140-42119,85204,TEC-PH-3164,34.5,10,Western US,552,Consumer,4/26/15,First Class,62.15,Arizona
Mesa,TW-210251404,Tamara Willingham,0.2,10/28/15,CA-2015-TW21025140-42305,85204,OFF-PA-6431,16.2342,1,Western US,44.784,Home Office,11/2/15,Standard Class,2.53,Arizona
Mesa,TG-213101404,Toby Gnade,0.2,7/14/13,CA-2013-TG21310140-41469,85204,OFF-ST-5754,-64.7748,3,Western US,272.736,Consumer,7/19/13,Second Class,27.14,Arizona
Mesa,TG-213101404,Toby Gnade,0.7,7/14/13,CA-2013-TG21310140-41469,85204,FUR-BO-4666,-191.646,6,Western US,127.764,Consumer,7/19/13,Second Class,8.59,Arizona
